#ENGINE	STEP	TOTAL_POT	TOTAL_ELECT	TOTAL_VDW_plus_ELECT	PRESSURE	VOLUME	DENSITY
GOMC	170500	-7987.368797180951	-8733.961437152311	-7987.329053095778	-756.54	25630.6257	0.98766
GOMC	171000	-7995.516334641379	-8734.160157578175	-7995.496462598792	-680.28	25630.6257	0.99388
NAMD	171000	-7994.2209	-8733.5951	-7994.908200000001	-693.8704	25630.6257	0.9938767508168949
NAMD	173500	-7962.6353	-8746.4592	-7970.0709	-170.1634	25630.6257	0.9938767508168949
GOMC	173500	-7969.881399704913	-8746.282103555885	-7969.901271747499	-202.99	25630.6257	0.99388
GOMC	174000	-7970.278840556641	-8747.07698525934	-7970.298712599226	-212.99	25630.6257	0.99388
NAMD	174000	-7963.1102	-8747.1725	-7970.384400000001	-192.4126	25630.6257	0.9938767508168949
NAMD	176500	-8060.9105	-8785.3954	-8063.6653	-1095.0803	25630.6257	0.9938767508168949
GOMC	176500	-8063.478720286896	-8785.231307025246	-8063.5184643720695	-1116.6	25630.6257	0.99388
GOMC	177000	-8080.171236059478	-8798.346855132275	-8080.131491974306	-972.19	25630.6257	1.0012999999999999
NAMD	177000	-8077.5045	-8798.4830	-8080.2593	-939.2172	25630.6257	1.001262508192299
NAMD	179500	-8041.1702	-8936.3685	-8046.286400000001	774.4155	25630.6257	1.001262508192299
GOMC	179500	-8046.587484088448	-8936.656271533677	-8046.587484088449	884.14	25630.6257	1.0012999999999999
GOMC	180000	-8034.266817684876	-8929.303615776706	-8034.3860499403945	882.18	25630.6257	0.99802
NAMD	180000	-8029.3524	-8928.9124	-8033.981899999999	731.0554	25630.6257	0.998023140922385
NAMD	182500	-8078.2841	-8849.5742	-8079.8027999999995	-649.4402	25630.6257	0.998023140922385
GOMC	182500	-8080.171236059478	-8850.014165856936	-8080.27059627241	-450.87	25630.6257	0.99802
GOMC	183000	-8080.966117762935	-8850.610327134527	-8080.946245720347	-468.92	25630.6257	0.99802
NAMD	183000	-8079.8519	-8850.2049	-8080.527800000001	-656.5859	25630.6257	0.998023140922385
NAMD	185500	-8027.9684	-8868.0377	-8030.545800000001	293.7842	25630.6257	0.998023140922385
GOMC	185500	-8030.888570445186	-8868.296445036432	-8030.828954317428	303.84	25630.6257	0.99802
GOMC	186000	-8035.45914024006	-8868.495165462296	-8035.498884325233	215.43	25630.6257	0.99802
NAMD	186000	-8033.2449	-8868.0965	-8035.0860999999995	290.7085	25630.6257	0.998023140922385
NAMD	188500	-8007.6794	-8822.1555	-8011.285000000001	38.5807	25630.6257	0.998023140922385
GOMC	188500	-8011.413968710506	-8822.193306235964	-8011.334480540159	95.322	25630.6257	0.99802
GOMC	189000	-8014.196054672603	-8831.334445825712	-8014.176182630017	79.024	25630.6257	0.99505
NAMD	189000	-8011.4261	-8831.2292	-8014.0495	77.6965	25630.6257	0.9950429230340639
NAMD	191500	-8005.0719	-8861.3556	-8006.578300000001	454.6187	25630.6257	0.9950429230340639
GOMC	191500	-8006.843398915632	-8861.738670982917	-8006.982503213737	483.81	25630.6257	0.99505
GOMC	192000	-8020.157667448525	-8868.097724610567	-8020.177539491111	611.91	25630.6257	1.0024
